Repository	# of Vuls Originally	# of Vuls after Fix	Initial Audit	After i package-lock	After audit fix															
jestenvironmentjsdomfourteen	-	-	ERR	ERR	ERR															
arrify	-	-	ERR	ERR	ERR															
uniquerandomarray	-	-	ERR	ERR	ERR															
query-string	-	-	ERR	ERR	ERR															
pathexists	-	-	ERR	ERR	ERR															
slash	-	-	ERR	ERR	ERR															
fancylog	-	-	ERR	ERR	ERR															
resolvefrom	-	-	ERR	ERR	ERR															
eslintconfigairbnb	-	-	ERR	ERR	ERR															
escapestringregexp	-	-	ERR	ERR	ERR															
eslintconfigairbnbbase	-	-	ERR	ERR	ERR															
logsymbols	-	-	ERR	ERR	ERR															
tildify	-	-	ERR	ERR	ERR															
readline	-	-	ERR	ERR	ERR															
pnpwebpackplugin	-	-	ERR	ERR	ERR															
escapehtml	-	-	ERR	ERR	ERR															
randomstring	-	-	ERR	ERR	ERR															
requireindex	-	-	ERR	ERR	ERR															
url	-	-	ERR	ERR	ERR															
readpkgup	-	-	ERR	ERR	ERR															
readpkg	-	-	ERR	ERR	ERR															
multimatch	-	-	ERR	ERR	ERR															
pify	-	-	ERR	ERR	ERR															
decamelize	-	-	ERR	ERR	ERR															
reflectmetadata	-	-	ERR	ERR	ERR															
throttledebounce	-	-	ERR	ERR	ERR															
gulptemplate	-	-	ERR	ERR	ERR															
cryptojs	-	-	ERR	ERR	ERR															
makedir	-	-	ERR	ERR	ERR															
crossenv	-	-	ERR	ERR	ERR															
camelcase	-	-	ERR	ERR	ERR															
stripjsoncomments	-	-	ERR	ERR	ERR															
ansiescapes	-	-	ERR	ERR	ERR															
findup	-	-	ERR	ERR	ERR															
getport	-	-	ERR	ERR	ERR															
clipboardy	-	-	ERR	ERR	ERR															
koalogger	-	-	ERR	ERR	ERR															
getstdin	-	-	ERR	ERR	ERR															
figures	-	-	ERR	ERR	ERR															
prettybytes	-	-	ERR	ERR	ERR															
shellquote	-	-	ERR	ERR	ERR															
markdown	-	-	ERR	ERR	ERR															
findupsync	-	-	ERR	ERR	ERR															
logupdate	-	-	ERR	ERR	ERR															
yosay	-	-	ERR	ERR	ERR															
detectport	-	-	ERR	ERR	ERR															
gzipsize	-	-	ERR	ERR	ERR															
stripansi	-	-	ERR	ERR	ERR															
koabodyparser	-	-	ERR	ERR	ERR															
gulpautoprefixer	-	-	ERR	ERR	ERR															
gulpfilter	-	-	ERR	ERR	ERR															
util	-	-	ERR	ERR	ERR															
cleanwebpackplugin	-	-	ERR	ERR	ERR															
md5file	-	-	ERR	ERR	ERR															
tslib	-	-	ERR	ERR	ERR															
events	-	-	ERR	ERR	ERR															
ansicolors	-	-	ERR	ERR	ERR															
babelplugindynamicimportnode	-	-	ERR	ERR	ERR															
prettyms	-	-	ERR	ERR	ERR															
httpsproxyagent	-	-	ERR	ERR	ERR															
koastatic	-	-	ERR	ERR	ERR															
brfs	-	-	ERR	ERR	ERR															
karmaphantomjslauncher	-	-	ERR	ERR	ERR															
boxen	-	-	ERR	ERR	ERR															
flux	-	-	ERR	ERR	ERR															
unistutilvisit	-	-	ERR	ERR	ERR															
dayjs	-	-	ERR	ERR	ERR															
listr	-	-	ERR	ERR	ERR															
ora	-	-	ERR	ERR	ERR															
del	-	-	ERR	ERR	ERR															
opn	-	-	ERR	ERR	ERR															
open	-	-	ERR	ERR	ERR															
imageminpngquant	-	-	ERR	ERR	ERR															
vuestyleloader	-	-	ERR	ERR	ERR															
npmlog	-	-	ERR	ERR	ERR															
loglevel	-	-	ERR	ERR	ERR															
bl	-	-	ERR	ERR	ERR															
forktscheckerwebpackpluginalt	-	-	ERR	ERR	ERR															
eslintpluginprettier	-	-	ERR	ERR	ERR															
plist	-	-	ERR	ERR	ERR															
normalizeurl	-	-	ERR	ERR	ERR															
whatwgfetch	-	-	ERR	ERR	ERR															
clone	-	-	ERR	ERR	ERR															
swprecachewebpackplugin	-	-	ERR	ERR	ERR															
assert	-	-	ERR	ERR	ERR															
json5	-	-	ERR	ERR	ERR															
loaderutils	-	-	ERR	ERR	ERR															
underscorestring	-	-	ERR	ERR	ERR															
vinyl	-	-	ERR	ERR	ERR															
cookie	-	-	ERR	ERR	ERR															
prettyjson	-	-	ERR	ERR	ERR															
jasmine	-	-	ERR	ERR	ERR															
koabody	-	-	ERR	ERR	ERR															
pako	-	-	ERR	ERR	ERR															
meow	-	-	ERR	ERR	ERR															
numeral	-	-	ERR	ERR	ERR															
gulppostcss	-	-	ERR	ERR	ERR															
frontmatter	-	-	ERR	ERR	ERR															
urlloader	-	-	ERR	ERR	ERR															
reselect	-	-	ERR	ERR	ERR															
objecthash	-	-	ERR	ERR	ERR															
cli	-	-	ERR	ERR	ERR															
minimatch	-	-	ERR	ERR	ERR															
minicssextractplugin	-	-	ERR	ERR	ERR															
configstore	-	-	ERR	ERR	ERR															
