Repository	Tag	Initial Audit	After i package-lock	After audit fix
fontawesome	5.15.3	No Vul	No Vul	No Vul
fontawesome	5.15.2	No Vul	No Vul	No Vul
fontawesome	5.15.1	No Vul	No Vul	No Vul
fontawesome	5.15.0	No Vul	No Vul	No Vul
fontawesome	5.14.0	No Vul	No Vul	No Vul
fortawesomefontawesomesvgcore	5.15.3	ERR	No Vul (Changed)	No Vul
fortawesomefontawesomesvgcore	5.15.2	No Vul	No Vul	No Vul
fortawesomefontawesomesvgcore	5.15.1	No Vul	No Vul	No Vul
fortawesomefontawesomesvgcore	5.15.0	No Vul	No Vul	No Vul
fortawesomefontawesomesvgcore	5.14.0	No Vul	No Vul	No Vul
fortawesomefreesolidsvgicons	5.15.3	ERR	No Vul (Changed)	No Vul
fortawesomefreesolidsvgicons	5.15.2	No Vul	No Vul	No Vul
fortawesomefreesolidsvgicons	5.15.1	No Vul	No Vul	No Vul
fortawesomefreesolidsvgicons	5.15.0	No Vul	No Vul	No Vul
fortawesomefreesolidsvgicons	5.14.0	No Vul	No Vul	No Vul
passportstrategy	v1.0.0	ERR	Vul Found (Changed)	Vul Found
os	v0.1.2	ERR	No Vul (Changed)	No Vul
clear	v0.1.0	ERR	No Vul (Changed)	No Vul
clear	v0.0.1	No Vul	No Vul	No Vul
clear	v0.0.0	No Vul	No Vul	No Vul
requirejs	2.3.6	ERR	No Vul (Changed)	No Vul
requirejs	latest	No Vul	No Vul	No Vul
requirejs	2.3.5	No Vul	No Vul	No Vul
requirejs	2.3.4	No Vul	No Vul	No Vul
requirejs	2.3.3	No Vul	No Vul	No Vul
connectflash	v0.1.1	ERR	Vul Found (Changed)	Vul Found
connectflash	v0.1.0	Vul Found	Vul Found	Vul Found
pathisabsolute	v2.0.0	ERR	Vul Found (Changed)	Vul Found
pathisabsolute	v1.0.1	Vul Found	Vul Found	Vul Found
pathisabsolute	v1.0.0	Vul Found	Vul Found	No Vul (Changed)
hashsum	v2.0.0	Vul Found	Vul Found	Vul Found
hashsum	v1.0.2	Vul Found	Vul Found	Vul Found
hashsum	v1.0.1	Vul Found	Vul Found	Vul Found
deepassign	v2.0.0	ERR	No Vul (Changed)	No Vul
deepassign	v1.0.0	No Vul	No Vul	No Vul
path	v0.12.7	ERR	No Vul (Changed)	No Vul
path	v0.11.14	No Vul	No Vul	No Vul
path	v0.4.10	No Vul	No Vul	No Vul
vinylbuffer	v1.0.1	ERR	No Vul (Changed)	No Vul
vinylbuffer	v1.0.0	No Vul	No Vul	No Vul
base64	v1.0.0	ERR	Vul Found (Changed)	Vul Found
base64	v0.1.0	Vul Found	Vul Found	Vul Found
keypress	v0.2.1	ERR	No Vul (Changed)	No Vul
keypress	v0.1.0	No Vul	No Vul	No Vul
keypress	v0.0.2	No Vul	No Vul	No Vul
keypress	v0.0.1	No Vul	No Vul	No Vul
iniparser	1.0.5	ERR	No Vul (Changed)	No Vul
iniparser	1.0.4	No Vul	No Vul	No Vul
iniparser	1.0.3	No Vul	No Vul	No Vul
iniparser	1.0.2	No Vul	No Vul	No Vul
iniparser	1.0.1	No Vul	No Vul	No Vul
jestpnpresolver	v1.2.1	ERR	No Vul (Changed)	No Vul
jestpnpresolver	v1.2.0	No Vul	No Vul	No Vul
jestpnpresolver	v1.0.2	No Vul	No Vul	No Vul
gulpconflict	0.4.0	ERR	Vul Found (Changed)	Vul Found
gulpconflict	0.3.0	Vul Found	Vul Found	Vul Found
gulpconflict	0.2.0	Vul Found	Vul Found	Vul Found
gulpconflict	0.1.2	Vul Found	Vul Found	Vul Found
gulpconflict	0.1.1	Vul Found	Vul Found	Vul Found
texttable	0.2.0	ERR	Vul Found (Changed)	Vul Found
texttable	0.1.1	Vul Found	Vul Found	Vul Found
texttable	0.1.0	Vul Found	Vul Found	Vul Found
texttable	0.0.1	Vul Found	Vul Found	Vul Found
texttable	0.0.0	Vul Found	Vul Found	Vul Found
utilsmerge	v1.0.1	ERR	Vul Found (Changed)	Vul Found
utilsmerge	v1.0.0	Vul Found	Vul Found	Vul Found
jsonstablestringify	1.0.1	ERR	No Vul (Changed)	No Vul
jsonstablestringify	1.0.0	No Vul	No Vul	No Vul
jsonstablestringify	0.1.3	No Vul	No Vul	No Vul
jsonstablestringify	0.1.2	No Vul	No Vul	No Vul
jsonstablestringify	0.1.1	No Vul	No Vul	No Vul
sha1	v1.1.1	ERR	Vul Found (Changed)	Vul Found
sha1	v1.1.0	Vul Found	Vul Found	Vul Found
sha1	v1.0.1	Vul Found	Vul Found	Vul Found
sha1	v1.0.0	Vul Found	Vul Found	Vul Found
sha1	v0.0.1	Vul Found	Vul Found	Vul Found
sprintf	0.1.5	ERR	No Vul (Changed)	No Vul
sprintf	v0.1.4	No Vul	No Vul	No Vul
sprintf	v0.1.3	No Vul	No Vul	No Vul
sprintf	v0.1.2	No Vul	No Vul	No Vul
sprintf	v0.1.1	No Vul	No Vul	No Vul
tspnp	v1.2.0	ERR	No Vul (Changed)	No Vul
tspnp	v1.1.6	No Vul	No Vul	No Vul
tspnp	v1.1.4	No Vul	No Vul	No Vul
tspnp	v1.1.2	No Vul	No Vul	No Vul
tspnp	v1.1.0	No Vul	No Vul	No Vul
querystring	v0.2.1	ERR	No Vul (Changed)	No Vul
querystring	v0.2.0	No Vul	No Vul	No Vul
querystring	v0.1.0	No Vul	No Vul	No Vul
querystring	v0.0.4	No Vul	No Vul	No Vul
querystring	v0.0.3	No Vul	No Vul	No Vul
utf8	v3.0.0	ERR	Vul Found (Changed)	Vul Found
utf8	v2.1.2	Vul Found	Vul Found	Vul Found
utf8	v2.1.1	Vul Found	Vul Found	Vul Found
utf8	v2.1.0	Vul Found	Vul Found	Vul Found
utf8	v2.0.0	Vul Found	Vul Found	Vul Found
babelplugintransformdecoratorslegacy	v1.3.5	ERR	Vul Found (Changed)	Vul Found
babelplugintransformdecoratorslegacy	v1.3.4	Vul Found	Vul Found	Vul Found
babelplugintransformdecoratorslegacy	v1.3.3	Vul Found	Vul Found	Vul Found
babelplugintransformdecoratorslegacy	v1.3.2	Vul Found	Vul Found	Vul Found
babelplugintransformdecoratorslegacy	v1.3.1	Vul Found	Vul Found	Vul Found
jsonstringifysafe	v5.0.1	ERR	Vul Found (Changed)	Vul Found
jsonstringifysafe	v5.0.0	Vul Found	Vul Found	No Vul (Changed)
jsonstringifysafe	v4.0.0	No Vul	No Vul	No Vul
jsonstringifysafe	v3.0.0	No Vul	No Vul	No Vul
jsonstringifysafe	v2.0.0	No Vul	No Vul	No Vul
userhome	2.0.0	ERR	No Vul (Changed)	No Vul
userhome	v1.1.1	No Vul	No Vul	No Vul
userhome	v1.1.0	No Vul	No Vul	No Vul
userhome	v1.0.0	No Vul	No Vul	No Vul
validurl	v1.0.9	ERR	Vul Found (Changed)	Vul Found
validurl	v1.0.8	Vul Found	Vul Found	Vul Found
validurl	v1.0.7	Vul Found	Vul Found	Vul Found
validurl	v1.0.6	Vul Found	Vul Found	Vul Found
validurl	v1.0.5	Vul Found	Vul Found	Vul Found
once	v1.4.0	ERR	Vul Found (Changed)	Vul Found
once	v1.3.3	Vul Found	Vul Found	Vul Found
once	v1.3.2	Vul Found	Vul Found	Vul Found
once	v1.3.1	Vul Found	Vul Found	Vul Found
once	v1.3.0	Vul Found	Vul Found	Vul Found
debounce	1.2.1	ERR	No Vul (Changed)	No Vul
debounce	1.2.0	No Vul	No Vul	No Vul
debounce	1.1.0	No Vul	No Vul	No Vul
debounce	1.0.2	No Vul	No Vul	No Vul
debounce	1.0.1	No Vul	No Vul	No Vul
assertplus	v1.0.0	ERR	Vul Found (Changed)	Vul Found
assertplus	v0.2.0	Vul Found	Vul Found	Vul Found
assertplus	v0.1.5	Vul Found	Vul Found	Vul Found
assertplus	v0.1.4	Vul Found	Vul Found	Vul Found
assertplus	v0.1.3	Vul Found	Vul Found	Vul Found
requiredir	1.2.0	ERR	No Vul (Changed)	No Vul
requiredir	1.1.0	No Vul	No Vul	No Vul
requiredir	1.0.0	No Vul	No Vul	No Vul
requiredir	0.3.2	No Vul	No Vul	No Vul
requiredir	0.3.1	No Vul	No Vul	No Vul
vinylsourcestream	v2.0.0	ERR	Vul Found (Changed)	Vul Found
vinylsourcestream	v1.1.2	Vul Found	Vul Found	Vul Found
vinylsourcestream	v1.1.1	Vul Found	Vul Found	Vul Found
vinylsourcestream	v1.1.0	Vul Found	Vul Found	Vul Found
vinylsourcestream	v1.0.0	Vul Found	Vul Found	Vul Found
ispromise	4.0.0	ERR	No Vul (Changed)	No Vul
ispromise	3.0.0	No Vul	No Vul	No Vul
ispromise	2.2.2	No Vul	No Vul	No Vul
ispromise	2.2.1	No Vul	No Vul	No Vul
ispromise	2.2.0	No Vul	No Vul	No Vul
stacktrace	1.0.0-pre1	Vul Found	Vul Found	No Vul (Changed)
stacktrace	v0.0.10	No Vul	No Vul	No Vul
stacktrace	v0.0.9	No Vul	No Vul	No Vul
stacktrace	0.0.8	No Vul	No Vul	No Vul
stacktrace	v0.0.7	No Vul	No Vul	No Vul
postcssnormalize	10.0.0	ERR	No Vul (Changed)	No Vul
postcssnormalize	9.0.0	No Vul	No Vul	No Vul
postcssnormalize	v0.3.0	No Vul	No Vul	No Vul
postcssnormalize	v0.2.0	No Vul	No Vul	No Vul
postcssnormalize	v0.1.2	No Vul	No Vul	No Vul
randombytes	v2.1.0	ERR	Vul Found (Changed)	Vul Found
randombytes	v2.0.6	Vul Found	Vul Found	Vul Found
randombytes	v2.0.5	Vul Found	Vul Found	Vul Found
randombytes	v2.0.4	Vul Found	Vul Found	Vul Found
randombytes	v2.0.3	Vul Found	Vul Found	Vul Found
inherits	v2.0.4	Vul Found	Vul Found	Vul Found
inherits	v2.0.3	Vul Found	Vul Found	Vul Found
inherits	v2.0.2	Vul Found	Vul Found	Vul Found
inherits	v1.0.1	Vul Found	Vul Found	Vul Found
inherits	v2.0.1	Vul Found	Vul Found	Vul Found
urljoin	v4.0.1	Vul Found	Vul Found	Vul Found
urljoin	v4.0.0	Vul Found	Vul Found	Vul Found
urljoin	v3.0.0	Vul Found	Vul Found	Vul Found
urljoin	v2.0.5	Vul Found	Vul Found	Vul Found
urljoin	v2.0.4	Vul Found	Vul Found	Vul Found
memoryfs	v0.5.0	ERR	Vul Found (Changed)	Vul Found
memoryfs	v0.4.1	Vul Found	Vul Found	Vul Found
memoryfs	v0.4.0	Vul Found	Vul Found	Vul Found
memoryfs	v0.3.0	Vul Found	Vul Found	Vul Found
memoryfs	v0.2.0	Vul Found	Vul Found	Vul Found
isurl	v1.2.4	ERR	No Vul (Changed)	No Vul
isurl	v1.2.3	No Vul	No Vul	No Vul
isurl	v1.2.2	No Vul	No Vul	No Vul
isurl	v1.2.1	No Vul	No Vul	No Vul
isurl	1.2.0	No Vul	No Vul	No Vul
fuzzy	0.1.3	ERR	No Vul (Changed)	No Vul
fuzzy	v0.1.2	No Vul	No Vul	No Vul
fuzzy	v0.1.1	No Vul	No Vul	No Vul
fuzzy	v0.1.0	No Vul	No Vul	No Vul
merge	v2.1.1	Vul Found	Vul Found	No Vul (Changed)
merge	v2.1.0	No Vul	No Vul	No Vul
merge	v1.2.1	No Vul	No Vul	No Vul
merge	v1.2.0	No Vul	No Vul	No Vul
pkginfo	0.4.1	ERR	Vul Found (Changed)	Vul Found
pkginfo	0.4.0	Vul Found	Vul Found	Vul Found
pkginfo	0.3.1	Vul Found	Vul Found	Vul Found
pkginfo	0.3.0	Vul Found	Vul Found	Vul Found
pkginfo	0.2.3	Vul Found	Vul Found	Vul Found
nprogress	v1.0.0-1	ERR	Vul Found (Changed)	Vul Found
nprogress	v1.0.0-0	Vul Found	Vul Found	Vul Found
nprogress	v0.2.0	Vul Found	Vul Found	Vul Found
nprogress	v0.1.6	Vul Found	Vul Found	Vul Found
nprogress	0.1.5	Vul Found	Vul Found	Vul Found
looseenvify	v1.4.0	ERR	Vul Found (Changed)	Vul Found
looseenvify	v1.3.1	Vul Found	Vul Found	Vul Found
looseenvify	v1.3.0	Vul Found	Vul Found	Vul Found
looseenvify	v1.2.0	Vul Found	Vul Found	Vul Found
looseenvify	v1.1.0	Vul Found	Vul Found	Vul Found
dot	v2.0.0-beta.1	ERR	No Vul (Changed)	No Vul
dot	v1.1.3	No Vul	No Vul	No Vul
dot	v1.1.2	No Vul	No Vul	No Vul
dot	2.0.0-beta.0	No Vul	No Vul	No Vul
dot	1.1.1	No Vul	No Vul	No Vul
casesensitivepathswebpackplugin	v2.1.2	ERR	Vul Found (Changed)	Vul Found
casesensitivepathswebpackplugin	v2.0.0	Vul Found	Vul Found	Vul Found
casesensitivepathswebpackplugin	1.1.4	Vul Found	Vul Found	Vul Found
jsonloader	v0.5.7	Vul Found	Vul Found	Vul Found
jsonloader	v0.5.6	Vul Found	Vul Found	Vul Found
jsonloader	v0.5.5	Vul Found	Vul Found	Vul Found
jsonloader	v0.5.4	Vul Found	Vul Found	Vul Found
jsonloader	v0.5.3	Vul Found	Vul Found	Vul Found
validatenpmpackagename	v3.0.0	ERR	Vul Found (Changed)	Vul Found
validatenpmpackagename	v2.2.2	Vul Found	Vul Found	Vul Found
validatenpmpackagename	v2.2.1	Vul Found	Vul Found	Vul Found
validatenpmpackagename	v2.2.0	Vul Found	Vul Found	Vul Found
validatenpmpackagename	v2.1.0	Vul Found	Vul Found	Vul Found
xmlhttprequest	1.8.0	ERR	No Vul (Changed)	No Vul
xmlhttprequest	1.7.0	No Vul	No Vul	No Vul
xmlhttprequest	1.6.0	No Vul	No Vul	No Vul
xmlhttprequest	1.5.0	No Vul	No Vul	No Vul
xmlhttprequest	1.4.2	No Vul	No Vul	No Vul
clispinner	v0.2.10	ERR	No Vul (Changed)	No Vul
clispinner	v0.2.8	No Vul	No Vul	No Vul
clispinner	v0.2.7	No Vul	No Vul	No Vul
clispinner	v0.2.6	No Vul	No Vul	No Vul
clispinner	v0.2.5	No Vul	No Vul	No Vul
createhash	v1.2.0	ERR	Vul Found (Changed)	Vul Found
createhash	v1.1.3	Vul Found	Vul Found	Vul Found
createhash	v1.1.2	Vul Found	Vul Found	Vul Found
createhash	1.1.1	Vul Found	Vul Found	Vul Found
createhash	v1.1.0	Vul Found	Vul Found	Vul Found
