Repository	Tag	# of Vuls Originally	# of Vuls after Fix	Initial Audit	After i package-lock	After audit fix
fontawesome	5.14.0	0	0	No Vul	No Vul	No Vul
fontawesome	5.15.0	0	0	No Vul	No Vul	No Vul
fontawesome	5.15.1	0	0	No Vul	No Vul	No Vul
fontawesome	5.15.2	0	0	No Vul	No Vul	No Vul
fontawesome	5.15.3	0	0	No Vul	No Vul	No Vul
fortawesomefontawesomesvgcore	5.14.0	0	0	No Vul	No Vul	No Vul
fortawesomefontawesomesvgcore	5.15.0	0	0	No Vul	No Vul	No Vul
fortawesomefontawesomesvgcore	5.15.1	0	0	No Vul	No Vul	No Vul
fortawesomefontawesomesvgcore	5.15.2	0	0	No Vul	No Vul	No Vul
fortawesomefontawesomesvgcore	5.15.3	0	0	ERR	No Vul (Changed)	No Vul
fortawesomefreesolidsvgicons	5.14.0	0	0	No Vul	No Vul	No Vul
fortawesomefreesolidsvgicons	5.15.0	0	0	No Vul	No Vul	No Vul
fortawesomefreesolidsvgicons	5.15.1	0	0	No Vul	No Vul	No Vul
fortawesomefreesolidsvgicons	5.15.2	0	0	No Vul	No Vul	No Vul
fortawesomefreesolidsvgicons	5.15.3	0	0	ERR	No Vul (Changed)	No Vul
requirejs	2.3.3	0	0	No Vul	No Vul	No Vul
requirejs	2.3.4	0	0	No Vul	No Vul	No Vul
requirejs	2.3.5	0	0	No Vul	No Vul	No Vul
requirejs	2.3.6	0	0	ERR	No Vul (Changed)	No Vul
requirejs	latest	0	0	No Vul	No Vul	No Vul
iniparser	1.0.1	0	0	No Vul	No Vul	No Vul
iniparser	1.0.2	0	0	No Vul	No Vul	No Vul
iniparser	1.0.3	0	0	No Vul	No Vul	No Vul
iniparser	1.0.4	0	0	No Vul	No Vul	No Vul
iniparser	1.0.5	0	0	ERR	No Vul (Changed)	No Vul
gulpconflict	0.1.1	7	7	Vul Found	Vul Found	Vul Found
gulpconflict	0.1.2	7	7	Vul Found	Vul Found	Vul Found
gulpconflict	0.2.0	7	7	Vul Found	Vul Found	Vul Found
gulpconflict	0.3.0	7	7	Vul Found	Vul Found	Vul Found
gulpconflict	0.4.0	7	7	ERR	Vul Found (Changed)	Vul Found
texttable	0.0.0	2	2	Vul Found	Vul Found	Vul Found
texttable	0.0.1	2	2	Vul Found	Vul Found	Vul Found
texttable	0.1.0	2	2	Vul Found	Vul Found	Vul Found
texttable	0.1.1	2	2	Vul Found	Vul Found	Vul Found
texttable	0.2.0	2	2	ERR	Vul Found (Changed)	Vul Found
jsonstablestringify	0.1.1	0	0	No Vul	No Vul	No Vul
jsonstablestringify	0.1.2	0	0	No Vul	No Vul	No Vul
jsonstablestringify	0.1.3	0	0	No Vul	No Vul	No Vul
jsonstablestringify	1.0.0	0	0	No Vul	No Vul	No Vul
jsonstablestringify	1.0.1	0	0	ERR	No Vul (Changed)	No Vul
sha1	v0.0.1	3	3	Vul Found	Vul Found	Vul Found
sha1	v1.0.0	3	3	Vul Found	Vul Found	Vul Found
sha1	v1.0.1	3	3	Vul Found	Vul Found	Vul Found
sha1	v1.1.0	3	3	Vul Found	Vul Found	Vul Found
sha1	v1.1.1	3	3	ERR	Vul Found (Changed)	Vul Found
sprintf	0.1.5	0	0	ERR	No Vul (Changed)	No Vul
sprintf	v0.1.1	0	0	No Vul	No Vul	No Vul
sprintf	v0.1.2	0	0	No Vul	No Vul	No Vul
sprintf	v0.1.3	0	0	No Vul	No Vul	No Vul
sprintf	v0.1.4	0	0	No Vul	No Vul	No Vul
tspnp	v1.1.0	0	0	No Vul	No Vul	No Vul
tspnp	v1.1.2	0	0	No Vul	No Vul	No Vul
tspnp	v1.1.4	0	0	No Vul	No Vul	No Vul
tspnp	v1.1.6	0	0	No Vul	No Vul	No Vul
tspnp	v1.2.0	0	0	ERR	No Vul (Changed)	No Vul
querystring	v0.0.3	0	0	No Vul	No Vul	No Vul
querystring	v0.0.4	0	0	No Vul	No Vul	No Vul
querystring	v0.1.0	0	0	No Vul	No Vul	No Vul
querystring	v0.2.0	0	0	No Vul	No Vul	No Vul
querystring	v0.2.1	0	0	ERR	No Vul (Changed)	No Vul
utf8	v2.0.0	10	8	Vul Found	Vul Found	Vul Found
utf8	v2.1.0	10	10	Vul Found	Vul Found	Vul Found
utf8	v2.1.1	5	10	Vul Found	Vul Found	Vul Found
utf8	v2.1.2	5	5	Vul Found	Vul Found	Vul Found
utf8	v3.0.0	5	5	ERR	Vul Found (Changed)	Vul Found
babelplugintransformdecoratorslegacy	v1.3.1	7	7	Vul Found	Vul Found	Vul Found
babelplugintransformdecoratorslegacy	v1.3.2	7	7	Vul Found	Vul Found	Vul Found
babelplugintransformdecoratorslegacy	v1.3.3	7	7	Vul Found	Vul Found	Vul Found
babelplugintransformdecoratorslegacy	v1.3.4	7	7	Vul Found	Vul Found	Vul Found
babelplugintransformdecoratorslegacy	v1.3.5	7	7	ERR	Vul Found (Changed)	Vul Found
jsonstringifysafe	v2.0.0	0	0	No Vul	No Vul	No Vul
jsonstringifysafe	v3.0.0	0	0	No Vul	No Vul	No Vul
jsonstringifysafe	v4.0.0	0	0	No Vul	No Vul	No Vul
jsonstringifysafe	v5.0.0	5	0	Vul Found	Vul Found	No Vul (Changed)
jsonstringifysafe	v5.0.1	5	5	ERR	Vul Found (Changed)	Vul Found
validurl	v1.0.5	4	4	Vul Found	Vul Found	Vul Found
validurl	v1.0.6	4	4	Vul Found	Vul Found	Vul Found
validurl	v1.0.7	4	4	Vul Found	Vul Found	Vul Found
validurl	v1.0.8	4	4	Vul Found	Vul Found	Vul Found
validurl	v1.0.9	4	4	ERR	Vul Found (Changed)	Vul Found
once	v1.3.0	1	1	Vul Found	Vul Found	Vul Found
once	v1.3.1	1	1	Vul Found	Vul Found	Vul Found
once	v1.3.2	7	1	Vul Found	Vul Found	Vul Found
once	v1.3.3	16	7	Vul Found	Vul Found	Vul Found
once	v1.4.0	16	16	ERR	Vul Found (Changed)	Vul Found
debounce	1.0.1	0	0	No Vul	No Vul	No Vul
debounce	1.0.2	0	0	No Vul	No Vul	No Vul
debounce	1.1.0	0	0	No Vul	No Vul	No Vul
debounce	1.2.0	0	0	No Vul	No Vul	No Vul
debounce	1.2.1	0	0	ERR	No Vul (Changed)	No Vul
assertplus	v0.1.3	1	1	Vul Found	Vul Found	Vul Found
assertplus	v0.1.4	1	1	Vul Found	Vul Found	Vul Found
assertplus	v0.1.5	1	1	Vul Found	Vul Found	Vul Found
assertplus	v0.2.0	1	1	Vul Found	Vul Found	Vul Found
assertplus	v1.0.0	1	1	ERR	Vul Found (Changed)	Vul Found
requiredir	0.3.1	0	0	No Vul	No Vul	No Vul
requiredir	0.3.2	0	0	No Vul	No Vul	No Vul
requiredir	1.0.0	0	0	No Vul	No Vul	No Vul
requiredir	1.1.0	0	0	No Vul	No Vul	No Vul
requiredir	1.2.0	0	0	ERR	No Vul (Changed)	No Vul
vinylsourcestream	v1.0.0	1	1	Vul Found	Vul Found	Vul Found
vinylsourcestream	v1.1.0	1	1	Vul Found	Vul Found	Vul Found
vinylsourcestream	v1.1.1	1	1	Vul Found	Vul Found	Vul Found
vinylsourcestream	v1.1.2	1	1	Vul Found	Vul Found	Vul Found
vinylsourcestream	v2.0.0	1	1	ERR	Vul Found (Changed)	Vul Found
ispromise	2.2.0	0	0	No Vul	No Vul	No Vul
ispromise	2.2.1	0	0	No Vul	No Vul	No Vul
ispromise	2.2.2	0	0	No Vul	No Vul	No Vul
ispromise	3.0.0	0	0	No Vul	No Vul	No Vul
ispromise	4.0.0	0	0	ERR	No Vul (Changed)	No Vul
stacktrace	0.0.8	0	0	No Vul	No Vul	No Vul
stacktrace	1.0.0-pre1	1	0	Vul Found	Vul Found	No Vul (Changed)
stacktrace	v0.0.10	0	0	No Vul	No Vul	No Vul
stacktrace	v0.0.7	0	0	No Vul	No Vul	No Vul
stacktrace	v0.0.9	0	0	No Vul	No Vul	No Vul
postcssnormalize	10.0.0	0	0	ERR	No Vul (Changed)	No Vul
postcssnormalize	9.0.0	0	0	No Vul	No Vul	No Vul
