Repository	Status After Deduplication	Package-Lock Status	Note
fontawesome	Same	Same	*Empty Before**Empty After*
fortawesomefontawesomesvgcore	Same	Same	*Empty Before**Empty After*
fortawesomefreesolidsvgicons	Same	Same	*Empty Before**Empty After*
crypto	Same	Same	*Empty Before**Empty After*
fs	Same	Same	*Empty Before**Empty After*
http	Same	Same	*Empty Before**Empty After*
childprocess	Same	Same	*Empty Before**Empty After*
passportstrategy	Changed	Changed	
os	Same	Same	*Empty Before**Empty After*
clear	Same	Same	*Empty Before**Empty After*
requirejs	Same	Same	*Empty Before**Empty After*
connectflash	Same	Same	
pathisabsolute	Changed	Changed	
hashsum	Changed	Changed	
deepassign	Changed	Changed	
path	Same	Same	
babelhelpervuejsxmergeprops	Same	Same	*Empty Before**Empty After*
vinylbuffer	Changed	Changed	
base64	Changed	Changed	
keypress	Same	Same	*Empty Before**Empty After*
iniparser	Same	Same	*Empty Before**Empty After*
jestpnpresolver	Same	Same	
gulpconflict	Changed	Changed	
identityobjproxy	Changed	Changed	*Has 4 Unmet Dependency After*
texttable	Changed	Changed	
utilsmerge	Changed	Changed	
jsonstablestringify	Same	Same	
sha1	Changed	Changed	
sprintf	Same	Changed	
tspnp	Same	Same	
utf8	Changed	Changed	
jsonstringifysafe	Changed	Changed	
userhome	Same	Same	
validurl	Changed	Changed	
once	Changed	Changed	
debounce	Same	Same	
assertplus	Same	Same	
requiredir	Same	Same	
vinylsourcestream	Same	Same	
ispromise	Same	Same	*Empty Before**Empty After*
stacktrace	Same	Same	
postcssnormalize	Changed	Changed	
inherits	Changed	Changed	
urljoin	Changed	Changed	
clui	Changed	Changed	
isurl	Same	Same	
fuzzy	Same	Same	
merge	Changed	Changed	
pkginfo	Same	Same	
nprogress	Changed	Changed	*Has 3 Unmet Dependency After*
looseenvify	Changed	Changed	
dot	Changed	Changed	
casesensitivepathswebpackplugin	Changed	Changed	
jsonloader	Changed	Changed	
validatenpmpackagename	Changed	Changed	
readline	Changed	Changed	
pnpwebpackplugin	Changed	Changed	*Has 4 Unmet Dependency After*
xmlhttprequest	Same	Same	*Empty Before**Empty After*
clispinner	Same	Same	*Empty Before**Empty After*
escapehtml	Changed	Changed	
randomstring	Changed	Changed	
requireindex	Same	Same	
createhash	Changed	Changed	
opener	Changed	Changed	
extendshallow	Changed	Changed	
wordwrap	Changed	Changed	
passportlocal	Changed	Changed	
mergestream	Same	Same	
seleniumwebdriver	Changed	Changed	*Empty Before**Empty After**Has 8 Unmet Dependency After*
osenv	Changed	Changed	
leftpad	Same	Same	
jwtsimple	Changed	Changed	
connecthistoryapifallback	Changed	Changed	
fspromise	Changed	Changed	
read	Changed	Changed	
