Repository	Initial Size	After DDP
fontawesome		
fortawesomefontawesomesvgcore		
fortawesomefreesolidsvgicons		
crypto		
fs		
http		
childprocess		
passportstrategy	1.16MB	1.16MB
os		
clear		
requirejs		
connectflash	164.62KB	164.62KB
pathisabsolute	17.00MB	16.91MB
hashsum	3.18MB	2.99MB
deepassign	126.67MB	126.67MB
path	37.17KB	37.17KB
babelhelpervuejsxmergeprops		
vinylbuffer	483.08KB	419.89KB
base64	24.25MB	24.20MB
jestenvironmentjsdomfourteen	88.95MB	88.95MB
keypress		
iniparser		
jestpnpresolver		
gulpconflict	6.89MB	6.86MB
identityobjproxy	37.02MB	36.49MB
texttable	1.42MB	1.42MB
utilsmerge	1.17MB	1.17MB
arrify	182.54MB	182.54MB
uniquerandomarray	182.43MB	182.43MB
jsonstablestringify	89.67KB	89.67KB
sha1	891.64KB	891.05KB
sprintf	43.65MB	43.67MB
tspnp	42.40MB	42.40MB
querystring	1.88MB	1.88MB
utf8	9.99MB	9.99MB
babelplugintransformdecoratorslegacy	10.46MB	10.42MB
jsonstringifysafe	4.10MB	4.10MB
pathexists	99.47MB	99.45MB
userhome	8.32MB	8.32MB
validurl	1.73MB	1.53MB
once	16.19MB	15.61MB
slash	182.43MB	182.43MB
debounce	9.20MB	9.20MB
assertplus	2.49MB	2.49MB
requiredir	15.74MB	15.74MB
vinylsourcestream	1.13MB	1.13MB
ispromise		
fancylog	25.03MB	24.39MB
stacktrace	39.43MB	39.43MB
postcssnormalize	26.37MB	26.37MB
randombytes	74.79MB	73.78MB
resolvefrom	99.47MB	99.45MB
inherits	74.95MB	74.51MB
eslintconfigairbnb	2.42MB	2.42MB
escapestringregexp	182.43MB	182.43MB
eslintconfigairbnbbase	2.42MB	2.42MB
urljoin	9.26MB	9.24MB
clui	845.52KB	1.31MB
memoryfs	25.21MB	26.01MB
isurl	5.85MB	5.85MB
fuzzy	14.34MB	14.28MB
merge	88.53MB	88.49MB
logsymbols	182.51MB	182.51MB
pkginfo	897.50KB	897.50KB
tildify	99.47MB	99.45MB
nprogress	10.97MB	10.97MB
looseenvify	28.04MB	27.30MB
dot	38.13MB	38.04MB
casesensitivepathswebpackplugin	39.21MB	37.17MB
jsonloader	8.22MB	8.22MB
validatenpmpackagename	32.14MB	32.14MB
readline	1.26MB	1.26MB
pnpwebpackplugin	39.57MB	39.50MB
xmlhttprequest		
clispinner		
escapehtml	32.41MB	32.36MB
randomstring	875.96KB	875.96KB
requireindex	70.78KB	70.78KB
createhash	20.19MB	20.08MB
opener	10.99MB	10.99MB
extendshallow	10.03MB	10.03MB
wordwrap	5.33MB	5.33MB
passportlocal	1.53MB	1.53MB
mergestream	7.20MB	7.20MB
seleniumwebdriver	353.44MB	351.43MB
osenv	17.69MB	17.70MB
leftpad	10.03MB	10.03MB
jwtsimple	14.73MB	14.13MB
url	72.71MB	72.46MB
warning	53.37MB	54.65MB
connecthistoryapifallback	61.55MB	60.61MB
readpkgup	182.95MB	182.95MB
fspromise	5.45MB	5.45MB
read	13.65MB	13.06MB
touch	17.83MB	17.29MB
commandexists	6.82MB	6.81MB
readpkg	182.76MB	182.78MB
md5	17.21MB	15.27MB
gulpreplace	66.94MB	66.80MB
multimatch	168.24MB	168.15MB
keycode	1.62MB	1.62MB
passportoauth2	1.72MB	1.72MB
normalizecss		
pify	51.08MB	51.04MB
requireall		
hoganjs	6.23MB	6.23MB
decamelize	98.05MB	98.03MB
isobject	9.21MB	9.21MB
contenttype	33.86MB	33.82MB
gulprename	24.96MB	24.86MB
progress		
bindings	8.26KB	8.26KB
ip	32.80MB	32.79MB
gulpif	13.81MB	13.74MB
verror	64.50KB	64.44KB
clitable2	22.92MB	22.79MB
process	49.32MB	48.34MB
i	670.13KB	670.13KB
objectassign	22.81MB	22.72MB
figlet	88.14MB	88.31MB
rawloader	98.39MB	92.77MB
sprintfjs	30.43MB	33.23MB
gulpinstall	29.62MB	29.56MB
reacttapeventplugin	4.69MB	4.69MB
httpstatuscodes	105.62MB	105.89MB
minimist	9.01MB	8.99MB
invariant	144.55MB	143.77MB
requestpromisenative	48.91MB	46.37MB
yamljs	6.06MB	6.06MB
safebuffer	17.84MB	17.84MB
reactlifecyclescompat	45.33MB	46.80MB
reflectmetadata	82.22MB	82.04MB
postcssflexbugsfixes	27.77MB	27.79MB
throttledebounce	105.78MB	105.78MB
gulptemplate	41.03MB	40.74MB
hyperquest	2.38MB	2.38MB
xtend	93.60KB	93.60KB
cryptojs		
ncp	911.38KB	911.38KB
jwtdecode	18.79MB	18.37MB
childprocesspromise	18.47MB	18.43MB
makedir	176.96MB	176.95MB
crossenv	176.89MB	176.85MB
camelcase	168.04MB	167.98MB
approotpath	88.80MB	88.76MB
pump	13.78KB	13.78KB
stripjsoncomments	99.66MB	99.64MB
oauth	110.00KB	110.00KB
isplainobject	343.65MB	343.56MB
componentemitter	6.32MB	6.32MB
restler	45.14MB	45.13MB
koamount	27.74MB	27.68MB
ansiescapes	182.52MB	182.52MB
findup	168.35MB	168.25MB
getport	98.79MB	98.77MB
nodedir	983.80KB	983.80KB
progressbarwebpackplugin	13.64MB	13.64MB
ini	95.96MB	96.12MB
clipboardy	94.58MB	94.56MB
koalogger	127.42MB	127.35MB
classnames	84.40MB	84.24MB
recursivereaddir	5.72MB	5.72MB
getstdin	182.40MB	182.40MB
figures	99.48MB	99.46MB
prettybytes	99.47MB	99.45MB
shellquote	2.38MB	2.38MB
serializejavascript	16.06MB	15.47MB
envify	3.81MB	3.81MB
optimizecssassetswebpackplugin	84.06MB	76.21MB
runsequence	6.93MB	6.93MB
methods	23.00MB	22.99MB
nomnom	29.47MB	29.47MB
htmlentities	160.88MB	161.80MB
xpath	69.76KB	69.76KB
raf	29.75MB	29.45MB
filesaver		
flat	27.69MB	27.60MB
vuehotreloadapi	41.25MB	40.27MB
passportoauth	1.72MB	1.72MB
markdown		
findupsync	33.82MB	33.78MB
webpacknodeexternals	33.53MB	33.38MB
eslintpluginbabel	15.06MB	16.46MB
nodeemoji	9.83MB	9.82MB
logupdate	94.54MB	94.54MB
syncrequest	84.20MB	84.20MB
yosay	40.77MB	40.77MB
isomorphicfetch	13.31MB	13.26MB
temp	6.06MB	6.02MB
wrench	66.89MB	66.80MB
sourcemaploader	103.70MB	103.68MB
mz	9.22MB	9.20MB
deepextend	2.31MB	2.31MB
objectpath	20.88MB	19.94MB
detectport		
gzipsize	174.04MB	174.03MB
nodeuuid	1.10MB	1.10MB
reduxthunk	115.47MB	110.81MB
stripansi	182.43MB	182.43MB
bcryptjs		
koacompose	44.44MB	44.42MB
deasync	768.82KB	768.82KB
sanitizefilename	42.00MB	40.19MB
mockjs	43.70MB	43.28MB
koabodyparser	52.04MB	51.94MB
gulpautoprefixer	138.19MB	138.10MB
jestwatchtypeahead	155.99MB	156.25MB
proptypes	50.71MB	50.41MB
nopt	83.40MB	82.50MB
resizeobserverpolyfill	82.97MB	81.36MB
inflection	9.29MB	9.29MB
es6promisify	57.98MB	57.52MB
gulpfilter	131.15MB	131.07MB
deepdiff	22.59MB	21.31MB
gruntcontribconcat	25.82MB	25.82MB
mkdirp	80.14MB	79.06MB
util	41.08MB	41.09MB
cleanwebpackplugin	135.06MB	135.05MB
gruntcontribclean	166.26MB	166.19MB
hexletpairs	78.86MB	78.89MB
md5file	25.60MB	25.60MB
global	422.51KB	422.51KB
bs58	17.68MB	17.68MB
bytes	32.23MB	32.19MB
immutabilityhelper	84.69MB	84.66MB
columnify	12.04MB	12.04MB
busboy	71.04KB	71.04KB
long	18.20MB	18.20MB
crc		
hiredis	427.98KB	427.98KB
gruntcli	11.14MB	11.14MB
split2	27.12MB	26.95MB
tslib		
colors	15.55MB	15.55MB
events	40.67MB	40.68MB
eslintpluginstandard	25.07MB	19.78MB
unzip	1.83MB	1.81MB
convertsourcemap	17.77MB	17.19MB
tv4	27.27MB	27.02MB
concatstream	2.58MB	2.58MB
admzip	25.22MB	25.07MB
base64js	29.03MB	29.00MB
httpstatus	68.08MB	68.08MB
ansicolors	8.57MB	8.57MB
clitable		
gulpconcat	17.39MB	17.37MB
basicauth	26.42MB	26.40MB
slugify	19.92MB	19.64MB
babelplugindynamicimportnode	39.30MB	39.30MB
