Repository	Package-Lock	Npm-ShrinkWrap	Yarn	All-Fixed	No-Dependency
fontawesome	0	0	0	0	0
fortawesomefontawesomesvgcore	0	0	0	0	0
fortawesomefreesolidsvgicons	0	0	0	0	0
crypto	0	0	0	0	1
fs	0	0	0	0	1
http	0	0	0	0	1
childprocess	0	0	0	0	1
passportstrategy	0	0	0	0	0
os	0	0	0	0	1
clear	0	0	0	0	1
requirejs	0	0	0	0	1
connectflash	0	0	0	0	0
pathisabsolute	0	0	0	0	0
hashsum	1	0	0	0	0
deepassign	0	0	0	0	0
path	0	0	0	0	0
babelhelpervuejsxmergeprops	0	0	0	0	1
vinylbuffer	0	0	0	0	0
base64	0	0	0	0	0
jestenvironmentjsdomfourteen	0	0	0	0	0
keypress	0	0	0	0	1
iniparser	0	0	0	0	1
jestpnpresolver	0	0	0	0	1
gulpconflict	0	0	0	0	0
identityobjproxy	0	0	0	0	0
texttable	0	0	0	0	0
utilsmerge	0	0	0	0	0
arrify	0	0	0	0	0
uniquerandomarray	0	0	0	0	0
jsonstablestringify	0	0	0	0	0
sha1	0	0	0	0	0
sprintf	0	0	0	0	0
tspnp	0	0	0	0	0
querystring	0	0	0	0	0
utf8	0	0	0	0	0
babelplugintransformdecoratorslegacy	0	0	0	0	0
jsonstringifysafe	0	0	0	0	0
pathexists	0	0	0	0	0
userhome	0	0	0	0	0
validurl	0	0	0	0	0
once	0	0	0	0	0
slash	0	0	0	0	0
debounce	0	0	0	0	0
assertplus	0	0	0	0	0
requiredir	0	0	0	0	0
vinylsourcestream	0	0	0	0	0
ispromise	0	0	0	0	1
fancylog	0	0	0	0	0
stacktrace	1	0	0	0	0
postcssnormalize	0	0	0	0	0
randombytes	0	0	0	0	0
resolvefrom	0	0	0	0	0
inherits	1	0	0	0	0
eslintconfigairbnb	0	0	0	0	0
escapestringregexp	0	0	0	0	0
eslintconfigairbnbbase	0	0	0	0	0
urljoin	1	0	0	0	0
clui	1	0	0	0	0
memoryfs	0	0	0	0	0
isurl	0	0	0	0	0
fuzzy	0	0	0	0	0
merge	1	0	0	0	0
logsymbols	0	0	0	0	0
pkginfo	0	0	0	0	0
tildify	0	0	0	0	0
nprogress	0	0	0	0	0
looseenvify	0	0	0	0	0
dot	0	0	0	0	0
