Repository	Tag	No. Of. Duplicates
requirejs	2.3.6	0
requirejs	latest	0
requirejs	2.3.5	0
requirejs	2.3.4	0
requirejs	2.3.3	0
iniparser	1.0.5	0
iniparser	1.0.4	0
iniparser	1.0.3	0
iniparser	1.0.2	0
iniparser	1.0.1	0
gulpconflict	0.4.0	1
gulpconflict	0.3.0	1
gulpconflict	0.2.0	1
gulpconflict	0.1.2	1
gulpconflict	0.1.1	1
texttable	0.2.0	0
texttable	0.1.1	0
texttable	0.1.0	0
texttable	0.0.1	0
texttable	0.0.0	0
jsonstablestringify	1.0.1	0
jsonstablestringify	1.0.0	0
jsonstablestringify	0.1.3	0
jsonstablestringify	0.1.2	0
jsonstablestringify	0.1.1	0
sha1	v1.1.1	0
sha1	v1.1.0	0
sha1	v1.0.1	0
sha1	v1.0.0	0
sha1	v0.0.1	0
sprintf	0.1.5	87
sprintf	v0.1.4	87
sprintf	v0.1.3	87
sprintf	v0.1.2	87
sprintf	v0.1.1	87
tspnp	v1.2.0	0
tspnp	v1.1.6	0
tspnp	v1.1.4	0
tspnp	v1.1.2	0
tspnp	v1.1.0	0
querystring	v0.2.1	0
querystring	v0.2.0	0
querystring	v0.1.0	0
querystring	v0.0.4	0
querystring	v0.0.3	0
utf8	v3.0.0	5
utf8	v2.1.2	6
utf8	v2.1.1	11
utf8	v2.1.0	11
utf8	v2.0.0	6
babelplugintransformdecoratorslegacy	v1.3.5	52
babelplugintransformdecoratorslegacy	v1.3.4	52
babelplugintransformdecoratorslegacy	v1.3.3	52
babelplugintransformdecoratorslegacy	v1.3.2	52
babelplugintransformdecoratorslegacy	v1.3.1	52
jsonstringifysafe	v5.0.1	0
jsonstringifysafe	v5.0.0	0
jsonstringifysafe	v4.0.0	0
jsonstringifysafe	v3.0.0	0
jsonstringifysafe	v2.0.0	0
validurl	v1.0.9	0
validurl	v1.0.8	0
validurl	v1.0.7	0
validurl	v1.0.6	0
validurl	v1.0.5	0
once	v1.4.0	21
once	v1.3.3	7
once	v1.3.2	0
once	v1.3.1	0
once	v1.3.0	0
debounce	1.2.1	8
debounce	1.2.0	8
debounce	1.1.0	8
debounce	1.0.2	8
debounce	1.0.1	8
assertplus	v1.0.0	4
assertplus	v0.2.0	4
assertplus	v0.1.5	4
assertplus	v0.1.4	4
assertplus	v0.1.3	4
requiredir	1.2.0	0
requiredir	1.1.0	0
requiredir	1.0.0	0
requiredir	0.3.2	0
requiredir	0.3.1	0
vinylsourcestream	v2.0.0	0
vinylsourcestream	v1.1.2	0
vinylsourcestream	v1.1.1	0
vinylsourcestream	v1.1.0	0
vinylsourcestream	v1.0.0	0
ispromise	4.0.0	0
ispromise	3.0.0	0
ispromise	2.2.2	0
ispromise	2.2.1	0
ispromise	2.2.0	0
stacktrace	1.0.0-pre1	52
stacktrace	v0.0.10	0
stacktrace	v0.0.9	0
stacktrace	0.0.8	0
stacktrace	v0.0.7	0
postcssnormalize	10.0.0	5
postcssnormalize	9.0.0	4
postcssnormalize	v0.3.0	70
postcssnormalize	v0.2.0	70
postcssnormalize	v0.1.2	70
randombytes	v2.1.0	177
randombytes	v2.0.6	176
randombytes	v2.0.5	176
randombytes	v2.0.4	176
randombytes	v2.0.3	191
inherits	v2.0.4	60
inherits	v2.0.3	60
inherits	v2.0.2	60
inherits	v1.0.1	60
inherits	v2.0.1	60
urljoin	v4.0.1	3
urljoin	v4.0.0	3
urljoin	v3.0.0	3
urljoin	v2.0.5	3
urljoin	v2.0.4	3
memoryfs	v0.5.0	13
memoryfs	v0.4.1	13
memoryfs	v0.4.0	13
memoryfs	v0.3.0	13
memoryfs	v0.2.0	13
isurl	v1.2.4	8
isurl	v1.2.3	8
isurl	v1.2.2	8
isurl	v1.2.1	8
isurl	1.2.0	8
pkginfo	0.4.1	0
pkginfo	0.4.0	0
pkginfo	0.3.1	0
pkginfo	0.3.0	0
pkginfo	0.2.3	0
nprogress	v1.0.0-1	0
nprogress	v1.0.0-0	0
nprogress	v0.2.0	0
nprogress	v0.1.6	0
nprogress	0.1.5	0
looseenvify	v1.4.0	28
looseenvify	v1.3.1	28
looseenvify	v1.3.0	30
looseenvify	v1.2.0	32
looseenvify	v1.1.0	32
dot	v2.0.0-beta.1	58
dot	v1.1.3	58
dot	v1.1.2	58
dot	2.0.0-beta.0	58
dot	1.1.1	58
jsonloader	v0.5.7	9
jsonloader	v0.5.6	9
jsonloader	v0.5.5	9
jsonloader	v0.5.4	9
jsonloader	v0.5.3	9
